ID,SEX,Distance_flown,distance_walked,resting_time,walking_velocity,free_fall,death_feigning,body_righting,intra_interaction,inter_interaction,Wingbeat,Dead
545,F,0.512,338.9,451.4,0.751,6,5.53,1.54,0,0,6,132
546,F,0.405,332,470.1,0.706,6,4.39,0.67,0.34,0,0,NA
547,F,0.847,462.7,517.3,0.894,3,14.21,1.11,14.52,2.47,0,9
548,F,1.911,175.7,303.1,0.58,6,0,0.96,11.4,0,11,8
549,F,1.015,277.9,434.9,0.639,6,0.72,0.97,6.11,0,4,16
550,F,0.383,292.9,442.3,0.662,3,27.82,4.61,0,1.53,20,5
551,F,0.457,322.3,445.5,0.723,6,9.55,1.17,3.18,7.39,2,12
552,F,0.542,284,427.9,0.664,6,9.33,1.2,0,0,6,5
553,F,0.601,267.6,433.7,0.617,6,13.38,0.68,0,0,2,4
554,F,0.577,255.2,391.3,0.652,3,74.53,3.1,4.1,0,5,24
555,F,0.348,314.2,455.9,0.689,3,2.38,0.97,3.06,9.25,27,7
556,F,0.565,331,462.2,0.716,3,28.45,0.9,8.23,10.4,8,8
557,F,0.668,334.8,445.1,0.752,3,49.45,0.76,0,7.02,2,7
558,F,2.064,349.7,470.1,0.744,6,4.63,0.73,0,0,6,32
559,F,2.493,343.8,475.6,0.723,6,4.7,0.8,6.45,1.09,0,20
560,F,1.501,288.9,414,0.698,6,107.75,0.86,0,4.26,9,7
561,F,1.533,296.3,441.4,0.671,6,8.22,1.38,0.14,0,13,16
562,F,1.702,226.4,363.6,0.623,3,163.19,3.05,13.31,4.47,7,52
563,F,1.174,250.2,413.4,0.605,3,49.02,1.08,0,4.24,14,40
564,F,1.751,305.7,456.8,0.669,6,101.35,0.79,15,9.19,3,12
565,F,1.917,292.6,431.8,0.678,6,3.04,0.96,5.57,7.35,0,44
566,F,0.67,274.4,406.4,0.675,15,10.76,0.68,1.1,11.12,10,52
567,F,0.789,401.3,503.8,0.797,6,11.37,0.71,0.43,10.15,12,11
568,F,1.239,293.9,425.8,0.69,6,3.73,0.6,1.25,6.11,4,20
569,F,0.958,303.2,479.5,0.632,6,2.65,1.69,8.57,0,23,10
570,F,0.981,216.2,378.3,0.572,6,3.9,1.52,11.31,0.12,16,16
571,F,1.321,234.6,366.1,0.641,6,1.93,1.24,14.25,13.02,3,56
572,F,0.947,259.5,376.4,0.689,22,5.67,0.87,9.54,4.31,13,9
573,F,1.277,255.1,394.9,0.646,6,16.25,0.99,0.58,10.18,3,12
574,F,1.201,347.9,453.5,0.767,22,11.07,1.63,3.53,7.29,16,7
575,F,0.808,331.2,434.2,0.763,6,0,0.9,1.18,7.19,11,6
576,F,0.575,214.9,387.7,0.554,6,27.77,6.68,0,0,2,4
577,F,0.758,206.2,334.5,0.616,9,194.47,5.26,4.56,4.47,11,20
578,F,0.546,255.1,399.2,0.639,6,3.84,0.78,0,0.56,28,8
579,F,0.975,348.4,474.4,0.734,6,2.18,0.61,15.22,3.38,42,36
580,F,0.688,251.7,406.6,0.619,6,19.75,4.05,0.21,0,0,10
581,F,0.671,221.6,359.4,0.617,6,8.46,1.06,11.02,3.26,21,16
582,F,0.513,205.6,357.8,0.575,6,6.17,1.78,0,0,24,7
583,F,1.057,282.8,430.5,0.657,6,3.32,0.54,3.43,0,10,24
584,F,0.871,319.3,462.7,0.69,6,0,0.56,0,0,31,5
585,F,0.55,253.4,368.7,0.687,6,1.77,0.66,0,0,12,12
586,F,0.745,253.9,409.2,0.62,6,0,0.92,0,0,7,16
587,F,0.271,179,295.8,0.605,6,16.69,0.78,11.22,0.11,0,5
588,F,0.537,159.8,306.7,0.521,6,10.78,2.39,7.12,8.03,8,56
