id,capture,day,time,hour,sex,age,breath_rate,time_novel,crossornot,time_known,speed,explo_groups,survival_2017,
81,3,24,14:02,14.03,1,1,17,375,1,225,4.166666667,1,1,
81,4,25,16:57,16.95,1,1,,,,,,1,1,
86,1,22,15:43,15.72,1,3,11,0,0,600,4.0625,0,0,
86,2,43,13:31,13.52,1,3,11,0,0,600,4.166666667,0,0,
86,3,50,13:20,13.33,1,3,10,0,0,600,5.962962963,0,0,
111,1,12,12:53,12.88,1,1,19,0,0,600,4.193548387,0,1,
111,2,18,14:32,14.53,1,1,17,0,0,600,2.666666667,0,1,
111,3,22,14:30,14.50,1,1,21,0,0,600,2.840909091,0,1,
111,4,31,11:35,11.58,1,1,17,,,,,0,1,
140,1,11,15:04,15.07,1,1,18,0,0,600,1.571428571,0,0,
195,1,34,18:30,18.50,1,1,17,0,0,600,3.260869565,0,0,
204,1,14,14:20,14.33,1,4,21,334,1,266,4.230769231,1,1,
205,1,35,16:13,16.22,1,4,19,0,0,600,3.846153846,0,0,
206,1,34,16:32,16.53,1,4,18,0,0,600,3.125,0,0,
206,2,37,18:14,18.23,1,4,20,0,0,600,3.619047619,0,0,
212,1,12,17:48,17.80,1,4,20,0,0,600,3.125,0,1,
212,2,15,15:37,15.62,1,4,19,,,,3.886010363,0,1,
212,3,37,17:18,17.30,1,4,13,0,0,600,4.59375,0,1,
212,4,47,17:05,17.08,1,4,19,0,0,600,4.617647059,0,1,
223,1,12,12:00,12.00,1,4,15,0,0,600,5.466970387,0,1,
223,2,18,13:11,13.18,1,4,16,0,0,600,4.166666667,0,1,
223,3,22,16:30,16.50,1,4,18,0,0,600,5.321428571,0,1,
223,4,34,18:03,18.05,1,4,,,,,5.266666667,0,1,
223,5,43,15:15,15.25,1,4,,,,,,0,1,
666,1,16,16:37,16.62,1,,23,273,1,327,3.521126761,1,,
667,1,18,11:35,11.58,1,,17,0,0,600,2.229845626,0,,
667,2,22,13:10,13.17,1,,18,0,0,600,3.823529412,0,,
15,1,11,11:43,11.72,2,2,,,,,,1,0,
15,2,13,14:35,14.58,2,2,12,24,1,576,4.439252336,1,0,
15,3,23,12:08,12.13,2,2,,0,0,600,3.205882353,1,0,
