mating,treatment,total.l.c,fore.w.c,coef.activity,slope.activity.nbmales.c,coef.agg,nbmales.c,nbfemales.c,ham,id_exp,stream,date,timestep,total.l.c.z,fore.w.c.z,coef.activity.z,slope.activity.nbmales.c.z,coef.agg.z,nbmales.c.z,nbfemales.c.z
0,1,-0.198057466,0.034452603,0.658941436,-0.021348643,-0.029454314,4.087426326,-0.173870334,NO,8,1,5/01/2011,39,-0.241884391,0.533954697,0.86288266,-0.511230127,-0.107769784,2.009400828,-0.374202217
0,1,-0.198057466,0.034452603,0.658941436,-0.021348643,-0.029454314,2.087426326,-0.173870334,NO,8,1,4/30/2011,34,-0.241884391,0.533954697,0.86288266,-0.511230127,-0.107769784,1.026190041,-0.374202217
0,0,-0.198057466,0.034452603,0.658941436,-0.021348643,-0.029454314,2.087426326,-0.173870334,NO,8,1,4/29/2011,22,-0.241884391,0.533954697,0.86288266,-0.511230127,-0.107769784,1.026190041,-0.374202217
0,1,-0.198057466,0.034452603,0.658941436,-0.021348643,-0.029454314,7.087426326,-0.173870334,NO,8,1,4/30/2011,33,-0.241884391,0.533954697,0.86288266,-0.511230127,-0.107769784,3.484217009,-0.374202217
0,1,-0.198057466,0.034452603,0.658941436,-0.021348643,-0.029454314,1.087426326,-0.173870334,NO,8,1,4/30/2011,36,-0.241884391,0.533954697,0.86288266,-0.511230127,-0.107769784,0.534584647,-0.374202217
0,1,-0.198057466,0.034452603,0.658941436,-0.021348643,-0.029454314,1.087426326,-0.173870334,YES,8,1,5/01/2011,41,-0.241884391,0.533954697,0.86288266,-0.511230127,-0.107769784,0.534584647,-0.374202217
0,1,-0.198057466,0.034452603,0.658941436,-0.021348643,-0.029454314,1.087426326,-0.173870334,NO,8,1,4/29/2011,23,-0.241884391,0.533954697,0.86288266,-0.511230127,-0.107769784,0.534584647,-0.374202217
0,0,-0.198057466,0.034452603,0.658941436,-0.021348643,-0.029454314,2.087426326,-0.173870334,NO,8,1,4/27/2011,8,-0.241884391,0.533954697,0.86288266,-0.511230127,-0.107769784,1.026190041,-0.374202217
0,0,-0.411057466,0.025452603,-1.095819084,0.039534984,-0.307809923,2.087426326,-0.173870334,NO,9,1,4/27/2011,8,-0.502017858,0.394470541,-1.465902778,0.884620371,-1.465914104,1.026190041,-0.374202217
0,0,-0.411057466,0.025452603,-1.095819084,0.039534984,-0.307809923,-1.912573674,-0.173870334,NO,9,1,4/29/2011,22,-0.502017858,0.394470541,-1.465902778,0.884620371,-1.465914104,-0.940231534,-0.374202217
0,0,-0.411057466,0.025452603,-1.095819084,0.039534984,-0.307809923,-0.912573674,-0.173870334,NO,9,1,4/29/2011,28,-0.502017858,0.394470541,-1.465902778,0.884620371,-1.465914104,-0.44862614,-0.374202217
0,0,-0.411057466,0.025452603,-1.095819084,0.039534984,-0.307809923,-0.912573674,-0.173870334,NO,9,1,4/29/2011,25,-0.502017858,0.394470541,-1.465902778,0.884620371,-1.465914104,-0.44862614,-0.374202217
0,1,-0.411057466,0.025452603,-1.095819084,0.039534984,-0.307809923,-0.912573674,-0.173870334,NO,9,1,4/29/2011,26,-0.502017858,0.394470541,-1.465902778,0.884620371,-1.465914104,-0.44862614,-0.374202217
0,0,-0.411057466,0.025452603,-1.095819084,0.039534984,-0.307809923,-1.912573674,-0.173870334,NO,9,1,4/27/2011,12,-0.502017858,0.394470541,-1.465902778,0.884620371,-1.465914104,-0.940231534,-0.374202217
0,0,-0.411057466,0.025452603,-1.095819084,0.039534984,-0.307809923,-1.912573674,-0.173870334,NO,9,1,4/29/2011,27,-0.502017858,0.394470541,-1.465902778,0.884620371,-1.465914104,-0.940231534,-0.374202217
