indiv,pack,litter.daten,bs.freq,bs.sess
HM005,1H,38172,1,19
HM009,1H,38172,0,19
BJ,1H,38313,0,6
BT,1H,38313,1,6
HM005,1H,38313,0,6
HM009,1H,38313,0,6
BJ,1H,38388,1,11
HM005,1H,38388,1,11
HM009,1H,38388,1,11
HM005,1H,38461,3,46
HM009,1H,38461,0,46
HM052,1H,38461,1,46
BJ,1H,38544,2,39
HM005,1H,38544,3,39
HM009,1H,38544,3,39
HM052,1H,38544,3,39
BJ,1H,38713,0,4
HM009,1H,38713,0,4
HM069,1H,38713,0,4
HM005,1H,38790,0,4
HM009,1H,38790,0,4
HM052,1H,38790,0,4
HM069,1H,38790,0,4
HM005,1H,38854,1,29
HM009,1H,38854,2,29
HM069,1H,38854,0,29
HM078,1H,38854,6,29
HM081,1H,38854,1,29
HM005,1H,39051,1,26
HM009,1H,39051,0,26
HM052,1H,39051,0,26
HM060,1H,39051,1,26
HM069,1H,39051,0,26
HM078,1H,39051,1,26
HM081,1H,39051,0,26
HM005,1H,39189,0,18
HM009,1H,39189,1,18
HM005,1H,39259,2,32
HM009,1H,39259,2,32
HM081,1H,39259,1,32
HM098,1H,39259,5,32
BJ,1H,39336,0,12
HM005,1H,39336,0,12
HM009,1H,39336,0,12
HM052,1H,39336,0,12
HM081,1H,39336,0,12
HM098,1H,39336,1,12
HM005,1H,39464,0,17
HM009,1H,39464,2,17
HM098,1H,39464,4,17
HM005,1H,39574,2,28
HM009,1H,39574,1,28
HM098,1H,39574,0,28
HM005,1H,39644,0,21
HM009,1H,39644,1,21
HM098,1H,39644,0,21
HM117,1H,39644,5,21
HM005,1H,39735,0,20
HM009,1H,39735,0,20
HM098,1H,39735,1,20
HM117,1H,39735,10,20
HM098,1H,39809,1,3
HM117,1H,39809,0,3
HM098,1H,39884,0,14
HM117,1H,39884,3,14
HM098,1H,39939,0,11
HM117,1H,39939,1,11
HM098,1H,40009,1,23
HM117,1H,40009,6,23
HM136,1H,40009,1,23
HM098,1H,40093,0,14
HM117,1H,40093,1,14
HM136,1H,40093,0,14
HM098,1H,40165,0,14
HM117,1H,40165,0,14
HM098,1H,40193,0,8
HM117,1H,40193,1,8
HM117,1H,40290,1,11
HM117,1H,40358,1,14
HM166,1H,40358,1,14
HM117,1H,40492,1,21
HM166,1H,40492,1,21
HM180,1H,40492,2,21
HM117,1H,40668,0,13
HM166,1H,40668,0,13
HM180,1H,40668,0,13
HM117,1H,40735,2,15
HM166,1H,40735,1,15
HM180,1H,40735,0,15
HM181,1H,40735,1,15
HM117,1H,40847,0,6
HM166,1H,40847,1,6
HM180,1H,40847,0,6
HM117,1H,40919,0,11
HM166,1H,40919,0,11
HM180,1H,40919,0,11
HM195,1H,40919,4,11
HM117,1H,41022,3,13
HM166,1H,41022,0,13
HM180,1H,41022,1,13
HM195,1H,41022,3,13
HM117,1H,41211,2,10
HM166,1H,41211,1,10
HM180,1H,41211,0,10
HM195,1H,41211,2,10
HM117,1H,41291,0,4
HM166,1H,41291,0,4
HM180,1H,41291,0,4
HM195,1H,41291,1,4
HM216,1H,41291,1,4
HM217,1H,41291,0,4
HM222,1H,41291,1,4
HM223,1H,41291,0,4
HM069,17,39455,0,3
HM078,17,39455,0,3
