id,sex,body_mass,trial,activity,exploration,food_neophobia,gregariousness,hemocytes,po,ppo,pair_id,larvae,survival,censoring,mother_body_mass
T346,m,128.9,2,52,8,159.588,270.931,27,1277.2,2177.716,T340,96,39,1,120.9
T348,m,137.6,2,13,9,67.843,15.523,31,2904.086,3420.148,T329,73,97,0,131.8
T349,m,105.8,2,136,11,103.324,17.532,15,709.67,622.572,T319,0,19,1,130.4
T350,m,112,2,67,4,146.32,11.126,219,736.65,2079.938,T320,92,46,1,127.9
T365,m,134.1,2,100,0,61.638,300,40,3145.567,2766.897,T374,63,58,1,138.1
T367,m,108,2,69,0,195.017,40.295,1,4347.012,20578,T378,83,94,0,129.8
T369,m,169.1,2,91,16,25.884,6.882,253,531.02,504.92,T379,0,46,1,141.2
T371,m,131.8,2,32,7,99.75,153.587,113,3216.085,3483.579,T381,110,46,1,132.8
T413,m,153.1,2,106,18,41.889,7.176,122,1256.088,3698.97,T422,86,90,0,134.1
T415,m,191.8,2,32,13,23.595,21.338,37,3341.956,7284.97,T425,92,90,0,99.5
T416,m,159.8,2,107,8,164.358,126.636,1,1822.326,5225.117,T426,99,90,0,133.8
T417,m,155.3,2,127,18,224.246,34.197,73,3813.226,5793.266,T427,102,29,1,130.6
T419,m,140.8,2,65,11,24.754,11.548,141,1541.704,3998.837,T428,103,90,0,136.7
T420,m,142,2,41,9,35.633,19.977,101,2144.715,1678.738,T401,99,90,0,139.7
T437,m,139.6,2,3,1,273.583,37.358,49,1563.75,3502.076,T423,85,33,1,130.5
T438,m,151.1,2,52,8,148.012,76.178,28,2534.09,3913.579,T405,98,87,0,137
T445,m,146.3,2,57,13,177.887,12.461,144,2583.73,6602.776,T400,38,85,0,111.8
T446,m,150.8,2,32,5,67.226,8.594,97,2731.342,4496.266,T406,79,85,0,122.1
T447,m,176.4,2,1,0,300,300,95,5270.186,6773.463,T394,62,85,0,91.7
T450,m,170,2,34,5,47.542,28.883,1,6575.115,22326,T439,84,85,0,134.2
T452,m,183.9,2,68,6,182.922,9.732,27,3219.444,3020.302,T440,97,85,0,129.1
